KC,l1-i_dcaches.demand_misses.total[32.0_3072.0_3072.0_16.0_8.0_2.0_2.0],l1-i_dcaches.demand_misses.total[32.0_3072.0_3072.0_16.0_8.0_2.0_4.0],l1-i_dcaches.demand_misses.total[32.0_3072.0_3072.0_16.0_8.0_2.0_6.0],l1-i_dcaches.demand_misses.total[32.0_3072.0_3072.0_16.0_8.0_2.0_8.0],l1-i_dcaches.demand_misses.total[32.0_3072.0_3072.0_16.0_8.0_2.0_12.0],l1-i_dcaches.demand_misses.total[32.0_3072.0_3072.0_16.0_8.0_2.0_16.0],l1-i_dcaches.demand_misses.total[32.0_3072.0_3072.0_16.0_8.0_4.0_2.0],l1-i_dcaches.demand_misses.total[32.0_3072.0_3072.0_16.0_8.0_4.0_4.0],l1-i_dcaches.demand_misses.total[32.0_3072.0_3072.0_16.0_8.0_4.0_6.0],l1-i_dcaches.demand_misses.total[32.0_3072.0_3072.0_16.0_8.0_4.0_8.0],l1-i_dcaches.demand_misses.total[32.0_3072.0_3072.0_16.0_8.0_4.0_12.0],l1-i_dcaches.demand_misses.total[32.0_3072.0_3072.0_16.0_8.0_4.0_16.0],l1-i_dcaches.demand_misses.total[32.0_3072.0_3072.0_16.0_8.0_6.0_2.0],l1-i_dcaches.demand_misses.total[32.0_3072.0_3072.0_16.0_8.0_6.0_4.0],l1-i_dcaches.demand_misses.total[32.0_3072.0_3072.0_16.0_8.0_6.0_6.0],l1-i_dcaches.demand_misses.total[32.0_3072.0_3072.0_16.0_8.0_6.0_8.0],l1-i_dcaches.demand_misses.total[32.0_3072.0_3072.0_16.0_8.0_6.0_12.0],l1-i_dcaches.demand_misses.total[32.0_3072.0_3072.0_16.0_8.0_6.0_16.0],l1-i_dcaches.demand_misses.total[32.0_3072.0_3072.0_16.0_8.0_8.0_2.0],l1-i_dcaches.demand_misses.total[32.0_3072.0_3072.0_16.0_8.0_8.0_4.0],l1-i_dcaches.demand_misses.total[32.0_3072.0_3072.0_16.0_8.0_8.0_6.0],l1-i_dcaches.demand_misses.total[32.0_3072.0_3072.0_16.0_8.0_8.0_8.0],l1-i_dcaches.demand_misses.total[32.0_3072.0_3072.0_16.0_8.0_8.0_12.0],l1-i_dcaches.demand_misses.total[32.0_3072.0_3072.0_16.0_8.0_8.0_16.0],l1-i_dcaches.demand_misses.total[32.0_3072.0_3072.0_16.0_8.0_12.0_2.0],l1-i_dcaches.demand_misses.total[32.0_3072.0_3072.0_16.0_8.0_12.0_4.0],l1-i_dcaches.demand_misses.total[32.0_3072.0_3072.0_16.0_8.0_12.0_6.0],l1-i_dcaches.demand_misses.total[32.0_3072.0_3072.0_16.0_8.0_12.0_8.0],l1-i_dcaches.demand_misses.total[32.0_3072.0_3072.0_16.0_8.0_12.0_12.0],l1-i_dcaches.demand_misses.total[32.0_3072.0_3072.0_16.0_8.0_12.0_16.0],l1-i_dcaches.demand_misses.total[32.0_3072.0_3072.0_16.0_8.0_16.0_2.0],l1-i_dcaches.demand_misses.total[32.0_3072.0_3072.0_16.0_8.0_16.0_4.0],l1-i_dcaches.demand_misses.total[32.0_3072.0_3072.0_16.0_8.0_16.0_6.0],l1-i_dcaches.demand_misses.total[32.0_3072.0_3072.0_16.0_8.0_16.0_8.0],l1-i_dcaches.demand_misses.total[32.0_3072.0_3072.0_16.0_8.0_16.0_12.0],l1-i_dcaches.demand_misses.total[32.0_3072.0_3072.0_16.0_8.0_16.0_16.0]
2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,
32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11452929.5,,,,
32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8733534.5,,,
42.0,,,,,,,,,,,,,,,,,,,,,,,,,19722324.5,,,,,,,,,,,
42.0,,,,,,,,,,,,,,,,,,,,,,,,,,11243625.0,,,,,,,,,,
64.0,,,,,,,,,,,,,,,,,,,19085089.0,,,,,,,,,,,,,,,,,
64.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6556048.0,,
85.0,,,,,,,,,,,,,18899007.0,,,,,,,,,,,,,,,,,,,,,,,
85.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,6776890.5,,,,,,,,
85.0,,,,,,,,,,,,,,,,,,,,,,,,,,,8151473.0,,,,,,,,,
96.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4696945.5
96.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5133783.0,
128.0,,,,,,,,,,,,,,,,,,,,10844080.5,,,,,,,,,,,,,,,,
128.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5804375.0,,,,,,,
170.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5936374.5,,,,,,
170.0,,,,,,,,,,,,,,11496054.5,,,,,,,,,,,,,,,,,,,,,,
192.0,,,,,,,,,,,,,,,,,,,,,,7500845.5,,,,,,,,,,,,,,
192.0,,,,,,,,,,,,,,,,,,,,,8541416.5,,,,,,,,,,,,,,,
256.0,,,,,,,20287259.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256.0,,,,,,,,,,,,,,,10089659.0,,,,,,,,,,,,,,,,,,,,,
256.0,,,,,,,,,,,,,,,,,,,,,,,,7036109.5,,,,,,,,,,,,
256.0,,,,,,,,,,,,,,,,,,,,,,,7807169.0,,,,,,,,,,,,,
341.0,,,,,,,,,,,,,,,,,8192500.5,,,,,,,,,,,,,,,,,,,
341.0,,,,,,,,,,,,,,,,9642456.0,,,,,,,,,,,,,,,,,,,,
384.0,,,,,,,,13624632.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
426.0,,,,,,,,,,,,,,,,,,7828682.5,,,,,,,,,,,,,,,,,,
512.0,,,,,,,,,,13328360.0,,,,,,,,,,,,,,,,,,,,,,,,,,
512.0,,,,,,,,,14868104.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
640.0,,,,,,,,,,,11990539.0,,,,,,,,,,,,,,,,,,,,,,,,,
640.0,,,,,,,,,,,,11186680.0,,,,,,,,,,,,,,,,,,,,,,,,
768.0,24128570.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1024.0,,16133139.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1280.0,,,17269104.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1280.0,,,,21813849.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1536.0,,,,,20514145.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1536.0,,,,,,19629319.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
